"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0030832","GO:0030832","regulation of actin filament length","26/1294","164/16672",0.000372420876901736,0.0175140313302596,0.0149507830543749,"9948/55604/23189/8936/10096/2185/7408/11034/23075/5879/10097/85464/375/2934/2059/123720/10092/10602/25802/57175/91663/2764/4641/89848/2475/10093",26
"GO:0046321","GO:0046321","positive regulation of fatty acid oxidation","6/1294","14/16672",0.000376461425851988,0.0175431024447027,0.0149755994953753,"23417/1374/8013/5468/3667/8660",6
"GO:0051493","GO:0051493","regulation of cytoskeleton organization","51/1294","404/16672",0.000384670537889992,0.0177641547497667,0.015164299914734,"23187/2824/6093/9948/55604/8045/22919/28984/23189/8936/5159/10096/9525/2185/24139/7408/11034/51763/23075/9475/5156/5879/10097/85464/396/27/375/5295/2934/2059/123720/91624/10092/10602/25802/5364/89927/1398/1613/25932/11214/171024/57175/91663/4771/2764/4641/89848/1902/2475/10093",51
"GO:0044259","GO:0044259","multicellular organismal macromolecule metabolic process","20/1294","113/16672",0.000405228447019599,0.0184744924003563,0.0157706768195743,"1301/9697/50509/1286/9509/3091/1471/28984/4324/5159/1294/54206/4327/5468/1284/4316/5045/1285/1282/1290",20
"GO:0007599","GO:0007599","hemostasis","46/1294","355/16672",0.000410851999474427,0.0184744924003563,0.0157706768195743,"5577/928/7414/60/55604/3717/3705/10627/160851/857/3315/5573/11234/2054/6722/5290/3709/2159/7103/5894/5156/5879/7094/7225/7057/388/5295/2768/84959/10630/134957/8323/79803/3660/29071/10855/114897/5781/302/18/71/23764/2316/5336/7975/81606",46
"GO:0010810","GO:0010810","regulation of cell-substrate adhesion","27/1294","174/16672",0.00041193831371136,0.0184744924003563,0.0157706768195743,"2824/6093/55604/3717/23189/604/4811/2185/81/9475/5879/7057/94/3491/5295/80005/6251/6695/1398/1613/5881/8322/91663/1435/4771/2316/2013",27
"GO:0070873","GO:0070873","regulation of glycogen metabolic process","9/1294","31/16672",0.000418072789395499,0.0184744924003563,0.0157706768195743,"10580/55829/51763/3667/5499/8660/5167/2475/5500",9
"GO:1900077","GO:1900077","negative regulation of cellular response to insulin stimulus","9/1294","31/16672",0.000418072789395499,0.0184744924003563,0.0157706768195743,"2844/23189/5791/5562/51763/55022/3667/5970/5167",9
"GO:0007249","GO:0007249","I-kappaB kinase/NF-kappaB signaling","36/1294","258/16672",0.000426462182302957,0.0186183790919086,0.0158935051204518,"8837/5536/6093/6095/57506/4792/9218/3551/3315/10475/1491/7128/57153/80762/9475/10010/5495/23476/10318/92140/1896/65018/79753/51704/79155/11214/5970/56674/54503/5187/5587/7088/2316/1902/4215/1147",36
"GO:0007162","GO:0007162","negative regulation of cell adhesion","31/1294","211/16672",0.000428593197979947,0.0186183790919086,0.0158935051204518,"3717/28984/23189/23560/1845/5573/604/81/80762/23075/26191/7057/94/396/5295/2796/6695/84959/5364/5598/10653/27289/114897/8322/5074/5781/91663/18/4582/4771/6494",31
"GO:0048193","GO:0048193","Golgi vesicle transport","41/1294","307/16672",0.000447402476781599,0.0192721436637183,0.0164515886420266,"381/9265/11345/55062/9117/10175/9218/6102/10671/8775/1075/11021/57222/1294/64689/8934/9217/11070/2159/10749/6272/8774/10228/10113/10427/10066/375/29097/85409/2890/123720/261729/11079/7109/90522/23760/64764/5587/340371/160/23243",41
"GO:0043647","GO:0043647","inositol phosphate metabolic process","14/1294","66/16672",0.000451413174807301,0.0192828661171852,0.0164607418217013,"9108/3632/80271/3705/2185/51763/3613/253430/11163/9807/5336/801/805/11165",14
"GO:0046486","GO:0046486","glycerolipid metabolic process","48/1294","377/16672",0.000464832329794064,0.0195474611017498,0.0166866122759049,"9108/51099/3632/27006/3991/8895/54675/8760/10423/54928/857/1374/10162/5159/847/5290/7376/51763/10955/23175/5156/50640/84803/3613/8394/375/5295/2180/23171/64419/5277/129303/3667/4204/10555/2167/5293/253558/9807/57104/5781/5833/8660/84188/5336/22908/283/23761",48
"GO:0006631","GO:0006631","fatty acid metabolic process","46/1294","357/16672",0.000465234150295256,0.0195474611017498,0.0166866122759049,"5577/79602/51099/64834/3991/2687/23417/2639/857/51422/1374/1432/9444/22937/8013/10965/35/6776/7376/5468/5562/241/3295/23175/50640/2108/8560/1737/2180/55301/84532/51094/10630/221955/9200/10999/3667/57546/6777/3952/247/641371/8660/2475/201562/3995",46
"GO:0043122","GO:0043122","regulation of I-kappaB kinase/NF-kappaB signaling","33/1294","231/16672",0.000476230123472847,0.0198442243091019,0.0169399430053056,"8837/5536/6095/57506/4792/9218/3551/3315/10475/1491/7128/57153/80762/10010/5495/23476/10318/92140/1896/65018/51704/79155/11214/5970/56674/54503/5187/5587/7088/2316/1902/4215/1147",33
"GO:0032881","GO:0032881","regulation of polysaccharide metabolic process","10/1294","38/16672",0.000483911049285552,0.0198442243091019,0.0169399430053056,"10580/55829/51763/3667/5499/8660/160/5167/2475/5500",10
"GO:0035924","GO:0035924","cellular response to vascular endothelial growth factor stimulus","10/1294","38/16672",0.000483911049285552,0.0198442243091019,0.0169399430053056,"3315/1432/5159/8828/3164/5156/7498/147372/5587/4641",10
"GO:0010906","GO:0010906","regulation of glucose metabolic process","18/1294","98/16672",0.000488994318372601,0.0198935307617298,0.0169820332621128,"6095/10580/23417/57486/10776/55829/51763/2308/51094/1353/3667/5499/114897/3952/8660/5167/2475/5500",18
"GO:1901841","GO:1901841","regulation of high voltage-gated calcium channel activity","5/1294","10/16672",0.000505770563231725,0.0203276080574021,0.0173525816158327,"6717/2259/783/801/805",5
"GO:1903201","GO:1903201","regulation of oxidative stress-induced cell death","12/1294","52/16672",0.000507595363118897,0.0203276080574021,0.0173525816158327,"3091/9688/3315/2309/8013/29979/4170/65018/9529/5598/2861/5074",12
"GO:0051348","GO:0051348","negative regulation of transferase activity","44/1294","339/16672",0.000523944639846879,0.0206026701931136,0.0175873873119028,"5577/5663/5705/11213/5714/4616/5611/5713/857/3315/51422/1845/5573/10114/868/54206/7128/1843/10197/5468/51763/26191/51347/84101/10253/1847/5925/3480/5686/9711/84959/55450/9529/1353/5598/2167/7026/8660/64853/4771/11261/2764/104/200734",44
"GO:0044321","GO:0044321","response to leptin","7/1294","20/16672",0.000525218478758937,0.0206026701931136,0.0175873873119028,"8013/890/55022/51094/3625/6774/3952",7
